Names_mpio,Names_depto,URL_mpio,URL_depto,Porc_escrutado,Num_mesas,Total_mesas,Votacion,Num_Votos,Num_Personas_Habilitadas,Porc_SI,Votos_SI,Porc_NO,Votos_NO,Votos_Válidos,Votos_no_marcados,Votos_nulos,Porc_Mesas_Inscritas,Porc_Abstensionismo
CISNEROS,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01091ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100.0,26.0,26.0,26.38,3017.0,11434.0,37.11,1084.0,62.88,1837.0,2921.0,33.0,63.0,1.0,0.7361378345285989
COCORNA,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01094ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100.0,34.0,34.0,37.51,4864.0,12965.0,35.39,1647.0,64.6,3006.0,4653.0,130.0,81.0,1.0,0.6248360971847281
CONCEPCION,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01097ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100.0,10.0,10.0,35.22,1553.0,4409.0,38.05,572.0,61.94,931.0,1503.0,23.0,27.0,1.0,0.6477659333182127
CONCORDIA,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01100ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100.0,38.0,38.0,19.86,3184.0,16027.0,32.41,998.0,67.58,2081.0,3079.0,55.0,50.0,1.0,0.8013352467710738
COPACABANA,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01103ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100.0,127.0,127.0,40.73,25279.0,62062.0,38.78,9535.0,61.21,15052.0,24587.0,323.0,369.0,1.0,0.5926815120363507
DABEIBA,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01109ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100.0,41.0,41.0,28.6,4858.0,16986.0,64.68,2971.0,35.31,1622.0,4593.0,166.0,99.0,1.0,0.713999764511951
DON MATIAS,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01112ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100.0,39.0,39.0,32.46,5381.0,16576.0,26.02,1371.0,73.97,3898.0,5269.0,41.0,71.0,1.0,0.6753740347490347
EBEJICO,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01115ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100.0,29.0,29.0,24.91,2846.0,11421.0,35.09,967.0,64.9,1788.0,2755.0,59.0,32.0,1.0,0.7508099115664127
EL BAGRE,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01117ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100.0,85.0,85.0,20.85,7520.0,36056.0,43.84,3167.0,56.15,4056.0,7223.0,141.0,156.0,1.0,0.7914355447082316
ENTRERRIOS,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01118ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100.0,18.0,18.0,33.68,2680.0,7957.0,32.95,868.0,67.04,1766.0,2634.0,16.0,30.0,1.0,0.6631896443383185
ENVIGADO,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01121ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100.0,507.0,507.0,46.11,106988.0,232003.0,35.98,37800.0,64.01,67255.0,105055.0,872.0,1061.0,1.0,0.5388507907225337
FREDONIA,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01124ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100.0,46.0,46.0,26.69,4858.0,18196.0,35.72,1703.0,64.27,3064.0,4767.0,27.0,64.0,1.0,0.7330182457683008
FRONTINO,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01127ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100.0,46.0,46.0,24.05,4038.0,16785.0,55.19,2148.0,44.8,1744.0,3892.0,68.0,78.0,1.0,0.7594280607685433
GIRALDO,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01130ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100.0,10.0,10.0,31.7,1251.0,3946.0,54.45,666.0,45.54,557.0,1223.0,11.0,17.0,1.0,0.6829700963000507
GIRARDOTA,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01133ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100.0,111.0,111.0,35.98,17135.0,47612.0,36.3,6088.0,63.69,10680.0,16768.0,90.0,277.0,1.0,0.6401117365370075
GOMEZ PLATA,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01136ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100.0,20.0,20.0,26.08,2192.0,8404.0,36.76,772.0,63.23,1328.0,2100.0,31.0,61.0,1.0,0.7391718229414564
GRANADA,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01139ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100.0,24.0,24.0,35.34,3630.0,10270.0,39.46,1382.0,60.53,2120.0,3502.0,75.0,53.0,1.0,0.6465433300876339
GUADALUPE,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01140ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100.0,16.0,16.0,24.54,1388.0,5656.0,54.88,714.0,45.11,587.0,1301.0,40.0,47.0,1.0,0.7545968882602546
GUARNE,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01142ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100.0,77.0,77.0,46.71,14804.0,31687.0,26.73,3870.0,73.26,10604.0,14474.0,116.0,214.0,1.0,0.5328052513649131
GUATAPE,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01145ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100.0,15.0,15.0,49.99,3261.0,6523.0,38.52,1232.0,61.47,1966.0,3198.0,26.0,37.0,1.0,0.5000766518473095
HELICONIA,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01148ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100.0,16.0,16.0,24.23,1492.0,6157.0,44.28,632.0,55.71,795.0,1427.0,36.0,29.0,1.0,0.757674191976612
HISPANIA,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01150ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100.0,13.0,13.0,21.88,1142.0,5219.0,41.23,459.0,58.76,654.0,1113.0,18.0,11.0,1.0,0.7811841348917417
ITAGUI,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01151ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100.0,527.0,527.0,39.3,96563.0,245703.0,37.09,35166.0,62.9,59627.0,94793.0,426.0,1344.0,1.0,0.6069929956085192
ITUANGO,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01154ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,97.95,48.0,49.0,23.88,4157.0,17406.0,69.34,2706.0,30.65,1196.0,3902.0,139.0,116.0,0.9795918367346939,0.7611743077099851
JARDIN,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01157ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100.0,28.0,28.0,37.98,4594.0,12094.0,35.96,1620.0,64.03,2884.0,4504.0,46.0,44.0,1.0,0.6201422192822887
